Programming,Problem Solving,Analytical Thinking,Mathematics,Creativity,Communication,Design Interest,Technical Interest,Teamwork,Attention to Detail,Career
2,4,4,3,4,5,1,2,4,5,Business Analyst
3,5,4,3,4,5,2,5,2,4,Cybersecurity Analyst
5,4,5,4,3,2,3,4,4,4,Software Developer
4,4,4,4,3,3,1,4,2,5,Data Scientist
4,5,4,5,4,4,2,4,3,5,Data Scientist
3,4,4,2,2,4,1,5,4,5,Cybersecurity Analyst
5,5,4,4,3,3,1,5,3,5,Cybersecurity Analyst
5,4,4,4,2,3,1,5,4,5,Cybersecurity Analyst
3,4,5,2,4,4,3,4,5,4,Business Analyst
4,5,5,2,3,5,1,5,4,5,Cybersecurity Analyst
2,5,5,3,3,5,2,2,4,4,Business Analyst
5,5,4,2,2,3,2,4,2,5,Cybersecurity Analyst
5,4,4,4,4,2,2,4,4,5,Software Developer
1,5,4,3,4,5,1,2,4,5,Business Analyst
5,5,4,3,4,3,1,5,4,4,Software Developer
2,5,5,4,2,5,3,3,4,4,Business Analyst
4,4,5,5,3,2,2,5,2,5,Software Developer
4,4,4,2,4,5,1,5,3,4,Cybersecurity Analyst
4,4,5,5,4,5,2,4,3,5,Data Scientist
5,5,4,4,4,4,1,4,3,4,Software Developer
4,5,5,2,2,3,1,4,4,4,Cybersecurity Analyst
4,5,4,5,4,2,2,5,4,5,Software Developer
1,4,5,2,2,4,3,2,5,5,Business Analyst
3,5,4,4,3,4,3,3,5,5,Business Analyst
4,5,4,4,4,5,1,5,3,5,Cybersecurity Analyst
5,5,4,5,4,4,3,5,2,5,Data Scientist
4,5,5,4,2,3,1,5,3,4,Cybersecurity Analyst
5,5,4,5,3,5,3,5,2,5,Data Scientist
5,4,4,5,5,3,2,4,3,5,Software Developer
4,4,4,3,2,4,2,4,3,4,Cybersecurity Analyst
2,3,3,3,4,5,4,3,3,5,UI/UX Designer
3,5,5,2,5,5,5,4,5,5,UI/UX Designer
4,4,4,5,5,5,1,4,2,5,Data Scientist
4,5,4,4,5,2,3,5,3,4,Software Developer
3,5,5,2,2,4,3,2,5,4,Business Analyst
1,3,5,2,4,5,4,5,5,5,UI/UX Designer
1,3,5,3,5,5,4,3,3,3,UI/UX Designer
1,4,4,4,2,4,3,4,4,4,Business Analyst
3,5,5,2,3,5,2,2,4,4,Business Analyst
3,4,5,3,4,5,2,3,4,5,Business Analyst
4,4,5,4,4,3,1,5,2,4,Data Scientist
1,5,4,3,2,5,1,3,4,4,Business Analyst
1,5,4,3,3,4,2,2,5,5,Business Analyst
3,5,4,2,2,3,2,5,4,4,Cybersecurity Analyst
2,4,4,3,2,4,1,3,5,4,Business Analyst
2,5,5,4,2,5,3,4,4,4,Business Analyst
1,4,5,2,4,5,1,3,4,5,Business Analyst
4,4,5,4,4,5,2,5,3,4,Data Scientist
2,4,4,2,2,4,1,4,4,4,Business Analyst
5,5,4,3,4,2,1,4,2,5,Software Developer
5,5,4,4,4,4,2,5,3,4,Cybersecurity Analyst
5,4,5,3,2,3,2,4,3,4,Cybersecurity Analyst
3,4,5,2,3,5,2,3,4,5,Business Analyst
5,4,4,3,3,3,3,5,4,4,Software Developer
4,5,4,5,3,3,3,5,2,5,Data Scientist
2,4,5,2,2,5,3,2,5,4,Business Analyst
4,4,5,3,3,4,3,4,3,5,Software Developer
1,5,4,3,5,5,4,4,4,3,UI/UX Designer
2,4,5,1,5,4,5,3,5,3,UI/UX Designer
4,4,4,5,4,3,3,5,4,5,Software Developer
5,4,4,3,4,2,2,4,3,4,Software Developer
4,4,5,3,3,4,2,4,3,4,Software Developer
2,4,3,1,4,4,5,4,3,4,UI/UX Designer
2,5,5,3,2,4,1,3,4,5,Business Analyst
4,5,4,4,5,4,2,4,2,4,Data Scientist
2,5,5,3,4,5,2,3,4,4,Business Analyst
4,5,4,4,2,5,1,5,2,4,Cybersecurity Analyst
5,4,4,5,4,4,1,4,4,5,Software Developer
1,5,4,2,4,4,1,3,4,4,Business Analyst
5,5,4,5,3,3,2,4,2,5,Software Developer
3,5,4,3,5,4,4,3,4,4,UI/UX Designer
5,5,5,4,5,5,1,4,3,4,Data Scientist
5,4,5,4,3,5,3,4,2,4,Data Scientist
4,5,4,2,3,3,1,4,2,5,Cybersecurity Analyst
5,4,4,4,3,3,2,5,3,4,Cybersecurity Analyst
5,4,5,2,4,3,2,4,3,4,Cybersecurity Analyst
5,4,4,5,5,4,3,4,3,4,Data Scientist
5,4,5,5,3,4,2,5,2,4,Data Scientist
3,5,3,2,4,4,4,5,5,4,UI/UX Designer
5,4,4,3,4,2,3,4,4,5,Software Developer
4,5,5,2,4,4,2,4,2,4,Cybersecurity Analyst
2,5,5,3,2,5,3,2,4,5,Business Analyst
5,4,4,4,3,5,1,4,3,5,Cybersecurity Analyst
4,5,4,2,2,3,2,5,3,4,Cybersecurity Analyst
5,5,4,3,5,2,2,4,2,4,Software Developer
5,4,4,3,5,2,2,4,4,4,Software Developer
3,5,5,2,2,5,2,4,3,4,Cybersecurity Analyst
3,5,4,4,4,5,2,4,5,5,Business Analyst
4,5,5,3,3,3,1,4,4,5,Cybersecurity Analyst
3,3,5,1,4,4,4,5,4,5,UI/UX Designer
1,3,3,1,4,5,5,4,4,5,UI/UX Designer
2,5,3,2,4,4,4,3,4,4,UI/UX Designer
5,4,5,4,5,4,1,5,2,5,Data Scientist
5,5,5,5,4,3,1,4,2,4,Software Developer
2,4,4,3,2,5,3,2,4,5,Business Analyst
4,4,4,4,3,2,2,5,2,5,Software Developer
1,4,5,3,2,4,1,4,5,5,Business Analyst
5,5,5,4,4,3,3,4,2,5,Data Scientist
5,4,5,5,3,5,3,5,4,4,Data Scientist
4,5,4,4,5,3,3,5,4,4,Data Scientist
1,5,3,2,5,5,4,4,3,3,UI/UX Designer
5,5,5,4,4,4,1,5,2,4,Software Developer
4,5,5,4,4,3,3,4,2,5,Data Scientist
4,5,5,5,3,4,2,5,3,4,Data Scientist
3,3,4,2,4,5,4,3,4,4,UI/UX Designer
4,4,4,5,4,3,1,5,2,4,Data Scientist
1,4,5,3,4,4,5,3,3,3,UI/UX Designer
1,5,5,3,3,5,2,3,4,5,Business Analyst
4,5,4,3,5,3,1,5,3,4,Software Developer
1,3,4,1,4,4,4,4,5,4,UI/UX Designer
5,5,4,4,4,3,1,5,2,5,Cybersecurity Analyst
4,5,4,2,4,5,2,4,4,4,Cybersecurity Analyst
1,4,5,4,2,4,1,4,5,5,Business Analyst
4,4,4,4,4,5,1,5,3,4,Data Scientist
3,5,4,3,2,4,1,2,4,5,Business Analyst
3,5,4,3,2,4,2,5,4,4,Cybersecurity Analyst
1,4,5,4,3,5,1,4,4,4,Business Analyst
4,4,5,2,3,4,2,5,4,5,Cybersecurity Analyst
2,4,3,2,5,5,5,5,3,5,UI/UX Designer
2,4,4,2,2,5,1,2,5,4,Business Analyst
5,4,4,4,3,3,2,4,4,4,Cybersecurity Analyst
5,5,5,4,5,4,3,5,3,4,Data Scientist
2,5,4,4,3,5,2,3,5,5,Business Analyst
1,4,4,3,4,4,4,3,5,3,UI/UX Designer
4,5,5,2,4,3,1,4,2,5,Cybersecurity Analyst
4,4,4,3,5,4,3,5,3,5,Software Developer
4,4,4,5,5,5,2,4,2,4,Data Scientist
1,5,5,2,4,5,2,3,4,4,Business Analyst
3,5,5,3,4,3,1,4,3,5,Cybersecurity Analyst
3,5,4,3,4,4,4,4,5,5,UI/UX Designer
4,5,4,5,4,4,2,5,2,4,Data Scientist
3,5,4,2,2,3,2,4,4,5,Cybersecurity Analyst
5,5,4,4,5,4,2,4,2,4,Data Scientist
1,5,3,1,4,4,4,5,4,3,UI/UX Designer
3,5,5,3,2,4,3,4,4,4,Business Analyst
3,5,3,1,5,4,4,5,4,5,UI/UX Designer
4,4,4,5,4,4,2,4,4,4,Data Scientist
4,5,5,4,3,3,1,5,2,4,Cybersecurity Analyst
5,5,4,5,4,5,2,5,3,4,Data Scientist
1,4,4,2,4,4,5,5,5,4,UI/UX Designer
3,4,4,1,5,4,5,4,5,3,UI/UX Designer
4,5,4,4,5,5,2,4,2,4,Data Scientist
1,5,5,3,3,5,2,3,4,4,Business Analyst
3,5,4,3,2,4,1,2,4,4,Business Analyst
2,5,5,1,4,4,4,5,3,4,UI/UX Designer
1,5,5,3,4,4,5,4,4,5,UI/UX Designer
4,4,5,4,2,5,2,5,2,5,Cybersecurity Analyst
5,4,4,3,3,3,2,4,3,5,Cybersecurity Analyst
2,4,5,2,4,4,1,3,5,4,Business Analyst
3,5,4,2,3,5,3,4,5,4,Business Analyst
2,5,4,2,3,5,1,4,5,5,Business Analyst
5,4,4,2,2,4,2,4,2,4,Cybersecurity Analyst
2,5,5,2,4,5,3,4,4,5,Business Analyst
3,5,5,4,3,4,1,3,4,4,Business Analyst
3,4,4,4,2,5,2,2,4,5,Business Analyst
4,4,5,2,2,4,1,4,2,4,Cybersecurity Analyst
3,4,4,2,3,5,1,4,4,4,Cybersecurity Analyst
5,5,5,3,3,4,1,4,4,5,Software Developer
4,5,4,5,4,4,1,4,4,4,Data Scientist
5,4,4,3,5,2,2,5,4,5,Software Developer
4,5,5,4,3,3,2,5,4,5,Cybersecurity Analyst
5,4,4,4,5,4,1,5,2,5,Software Developer
5,5,5,3,2,4,2,5,3,5,Cybersecurity Analyst
4,4,5,4,5,5,3,5,2,4,Data Scientist
3,5,4,3,2,5,3,4,5,5,Business Analyst
1,5,5,2,3,4,2,2,5,5,Business Analyst
3,5,5,2,4,4,1,4,4,5,Business Analyst
1,5,4,2,3,4,1,2,5,4,Business Analyst
4,4,5,4,5,3,2,5,4,4,Software Developer
4,5,5,2,4,4,1,4,2,5,Cybersecurity Analyst
4,5,5,5,4,5,2,5,3,4,Data Scientist
5,5,5,3,2,3,1,4,4,4,Cybersecurity Analyst
3,5,3,3,4,4,4,4,5,4,UI/UX Designer
4,5,5,3,2,5,1,5,4,5,Cybersecurity Analyst
2,5,5,4,4,4,2,3,5,5,Business Analyst
5,5,4,5,4,4,3,5,2,4,Data Scientist
3,4,4,2,5,5,5,3,4,5,UI/UX Designer
2,5,3,1,4,5,5,5,4,3,UI/UX Designer
3,4,5,4,3,5,2,4,4,5,Business Analyst
4,5,5,5,3,5,1,4,3,4,Data Scientist
4,5,5,4,3,4,2,5,4,5,Software Developer
2,4,4,4,4,5,3,3,5,4,Business Analyst
1,5,5,4,3,4,2,4,4,5,Business Analyst
3,5,5,3,2,3,1,5,2,4,Cybersecurity Analyst
5,4,5,2,2,4,1,4,3,4,Cybersecurity Analyst
5,5,5,4,4,3,2,4,2,5,Software Developer
5,4,5,3,3,4,1,5,2,4,Cybersecurity Analyst
1,3,4,2,5,4,5,4,5,3,UI/UX Designer
5,4,5,3,4,3,1,4,4,4,Cybersecurity Analyst
5,5,4,4,4,4,3,4,3,4,Software Developer
4,4,5,5,5,2,1,4,2,5,Software Developer
5,4,4,4,5,3,2,4,4,5,Data Scientist
5,4,4,4,3,4,3,5,4,5,Software Developer
4,4,4,5,4,3,2,5,2,4,Software Developer
2,4,5,2,2,4,1,2,5,5,Business Analyst
4,4,5,5,5,3,1,4,2,5,Data Scientist
5,5,4,2,3,4,2,5,4,5,Cybersecurity Analyst
1,3,3,3,5,5,4,3,5,3,UI/UX Designer
4,4,5,4,4,3,3,4,2,4,Data Scientist
2,4,3,3,4,5,4,3,3,5,UI/UX Designer
1,5,5,2,4,5,1,2,4,5,Business Analyst
1,5,3,2,5,4,4,5,3,4,UI/UX Designer
3,5,5,4,4,3,2,5,2,4,Cybersecurity Analyst
5,5,4,3,2,3,2,5,4,5,Cybersecurity Analyst
5,4,4,5,4,2,2,4,4,5,Software Developer
4,4,4,4,4,2,2,4,3,4,Software Developer
1,5,5,2,4,5,5,5,4,3,UI/UX Designer
1,4,4,4,2,4,1,3,5,4,Business Analyst
5,5,4,5,4,2,3,4,2,5,Software Developer
2,4,5,3,3,5,3,3,5,5,Business Analyst
4,4,5,4,3,4,2,5,3,4,Cybersecurity Analyst
5,5,5,4,5,2,2,5,4,5,Software Developer
5,4,4,4,5,4,1,4,4,4,Software Developer
4,4,4,5,4,3,3,5,4,5,Software Developer
5,5,4,5,4,3,2,4,4,4,Software Developer
5,5,5,4,2,3,1,5,2,4,Cybersecurity Analyst
1,3,3,2,5,4,5,3,3,3,UI/UX Designer
4,4,5,5,4,3,1,5,4,4,Data Scientist
5,4,4,5,5,5,1,5,4,5,Data Scientist
4,4,4,5,3,2,3,4,4,5,Software Developer
3,3,3,2,5,5,5,4,5,4,UI/UX Designer
4,5,5,4,3,5,1,4,3,4,Data Scientist
1,5,5,3,3,5,2,4,4,4,Business Analyst
4,5,5,5,3,5,3,5,2,5,Data Scientist
1,3,5,2,5,4,4,4,4,5,UI/UX Designer
1,3,3,2,5,4,4,5,5,4,UI/UX Designer
1,4,4,2,2,4,1,4,4,5,Business Analyst
5,5,5,4,5,4,1,4,2,4,Data Scientist
4,4,4,5,4,3,2,5,4,4,Data Scientist
5,4,5,5,3,3,3,5,2,5,Data Scientist
4,4,5,3,3,4,1,4,3,4,Cybersecurity Analyst
2,5,5,2,4,4,4,3,3,5,UI/UX Designer
2,5,5,4,2,5,1,4,4,5,Business Analyst
3,5,3,1,4,4,5,3,3,3,UI/UX Designer
5,4,5,5,3,4,2,5,3,4,Software Developer
5,5,4,3,2,3,2,5,3,5,Cybersecurity Analyst
2,5,4,1,5,5,5,3,3,5,UI/UX Designer
5,5,5,5,5,4,2,4,4,4,Software Developer
1,4,5,4,4,4,3,4,4,4,Business Analyst
3,4,5,2,3,5,2,4,4,4,Cybersecurity Analyst
4,4,5,5,5,4,2,4,3,5,Software Developer
4,4,4,5,5,4,3,5,3,4,Data Scientist
5,4,5,4,5,2,3,5,2,4,Software Developer
3,5,4,3,3,4,2,4,2,5,Cybersecurity Analyst
3,4,5,1,4,5,4,5,5,5,UI/UX Designer
2,4,5,2,4,5,5,5,4,5,UI/UX Designer
2,4,5,3,5,4,5,3,4,3,UI/UX Designer
5,4,4,5,4,3,2,5,2,5,Software Developer
1,4,5,1,4,5,4,5,3,5,UI/UX Designer
5,4,5,4,3,3,2,5,4,5,Cybersecurity Analyst
2,3,4,2,5,5,5,3,5,4,UI/UX Designer
5,4,5,5,4,4,2,4,2,4,Data Scientist
5,5,4,4,5,2,2,4,3,4,Software Developer
5,4,4,5,3,5,3,5,4,5,Data Scientist
4,5,5,3,3,3,1,5,2,4,Cybersecurity Analyst
1,3,5,2,5,5,5,3,3,3,UI/UX Designer
5,5,5,4,4,3,2,4,3,4,Data Scientist
5,5,4,5,4,4,3,5,3,5,Data Scientist
2,4,4,3,3,4,1,3,4,4,Business Analyst
1,4,4,2,2,5,2,2,5,4,Business Analyst
5,4,4,2,4,5,2,4,2,5,Cybersecurity Analyst
1,5,4,3,4,5,1,3,5,4,Business Analyst
4,4,4,3,4,4,2,5,2,5,Cybersecurity Analyst
4,5,4,4,4,4,2,5,4,4,Data Scientist
3,4,5,3,3,4,1,5,4,5,Cybersecurity Analyst
3,4,4,4,2,5,1,4,3,4,Cybersecurity Analyst
3,5,4,3,4,5,2,2,5,4,Business Analyst
4,4,5,5,3,5,2,5,4,4,Data Scientist
2,5,4,4,4,5,2,3,4,5,Business Analyst
1,3,5,3,4,5,5,3,4,5,UI/UX Designer
3,5,4,3,3,4,3,3,5,4,Business Analyst
4,5,4,3,2,4,2,5,2,4,Cybersecurity Analyst
4,5,4,3,4,4,3,4,4,5,Software Developer
1,4,4,1,5,4,5,3,5,4,UI/UX Designer
4,5,4,3,3,3,1,5,3,4,Cybersecurity Analyst
3,5,4,2,3,5,3,4,5,4,Business Analyst
4,4,4,4,3,3,2,5,2,5,Data Scientist
4,5,5,4,5,2,1,4,3,5,Software Developer
4,4,5,4,5,3,2,4,3,4,Data Scientist
3,3,3,3,5,4,5,3,5,5,UI/UX Designer
4,5,5,4,3,5,1,5,2,4,Data Scientist
4,4,4,4,3,4,2,5,3,5,Data Scientist
4,5,4,5,3,4,1,4,3,5,Data Scientist
3,3,3,2,4,5,4,3,3,4,UI/UX Designer
1,5,5,2,5,5,5,3,5,4,UI/UX Designer
5,5,4,3,4,3,1,4,4,5,Cybersecurity Analyst
1,5,3,2,4,5,4,4,5,5,UI/UX Designer
3,5,4,4,3,5,2,2,4,4,Business Analyst
4,5,4,4,4,4,1,4,2,4,Data Scientist
2,4,5,2,2,4,2,3,4,4,Business Analyst
5,4,5,5,4,4,1,4,3,5,Software Developer
2,4,4,4,4,4,1,2,5,4,Business Analyst
4,5,4,4,4,3,2,4,4,5,Software Developer
2,4,5,3,4,5,4,4,4,4,UI/UX Designer
4,4,4,3,5,3,2,5,3,5,Software Developer
1,5,3,3,5,5,4,3,4,3,UI/UX Designer
2,3,4,1,4,4,4,3,3,5,UI/UX Designer
5,5,5,5,4,4,1,5,4,5,Data Scientist
3,4,3,2,4,5,4,3,5,4,UI/UX Designer
5,5,4,5,3,2,2,5,4,4,Software Developer
3,4,5,4,2,5,2,5,2,5,Cybersecurity Analyst
4,5,4,5,4,2,3,5,2,5,Software Developer
3,4,5,3,3,4,2,3,5,5,Business Analyst
5,5,5,5,5,4,2,4,2,5,Software Developer
5,5,4,5,5,3,3,5,3,4,Software Developer
5,5,4,5,3,3,3,4,4,5,Data Scientist
2,4,4,2,4,5,5,3,5,5,UI/UX Designer
4,4,5,5,5,2,1,4,3,4,Software Developer
